"Longitude","Latitude"
-93.251717,15.5445511
-93.205206,15.5515663
-93.3392684,15.6006862
-93.1792116,16.9101763
-93.156221,16.648842
-92.2650548,14.6067589
-92.231666,15.004285
-92.3362983,15.1737792
-92.275922,15.132894
-93.0900231,17.2076579
-92.178607,14.9231138
-93.1436509,16.7602639
-92.0812225,15.0650788
-92.09956,15.108288
-93.6170913,16.264351
-93.69341,16.2913
-103.7404707,19.0969661
-103.7119246,19.3956871
-100.24471,17.327188
-100.1527405,17.35326
-100.19439,17.422112
-100.6292565,17.2214709
-98.6426085,21.0276944
-105.3516629,20.3363878
-105.36202,20.505418
-105.5817461,20.4394795
-105.3156227,20.3829893
-105.4298754,20.4810773
-105.4825687,20.4689129
-105.6413223,20.4428561
-104.7283745,19.3398154
-104.6682139,19.190705
-104.7157788,19.225016
-104.2713904,19.5859317
-104.798383,19.252302
-105.0203705,19.451054
-105.0444031,19.4984884
-104.8173487,19.3183523
-104.7793579,20.5103407
-104.8729201,20.5966232
-105.286274,20.5306766
-105.2503967,20.562403
-105.2371359,20.6424631
-105.2058291,20.5811765
-105.1485157,20.771523
-104.8223323,20.380988
-103.9688772,19.5763945
-105.1324153,20.0016647
-103.533393,19.485997
-104.0086563,19.7047991
-103.4555697,19.5267705
-103.60478,19.53804
-103.5778141,20.6818953
-103.44675,19.699485
-105.4103492,20.9055723
-105.5341344,20.7684052
-105.3263182,20.7482703
-105.4618607,20.8265137
-105.3623843,20.9522621
-105.3765035,20.8159359
-105.294316,20.691327
-105.430546,20.773119
-105.450647,20.873895
-105.2235335,21.1657971
-105.3051996,21.0241042
-105.189245,21.328735
-105.2461494,21.0385846
-105.1817134,22.7040198
-105.2807593,21.5415933
-105.1322937,21.4441213
-105.2008188,21.4809405
-105.2302456,21.5755408
-105.1814961,21.596789
-105.184188,21.426538
-104.49893,21.4563
-104.66869,21.30881
-104.5725442,21.3706479
-105.534668,21.7901071
-105.0598526,21.8648443
-104.9738694,21.6422
-104.9326329,21.4956327
-105.0347874,21.6487378
-104.9923038,21.4870953
-104.9901259,21.4009749
-100.3555128,25.609253
-95.8840583,17.7012528
-96.2921272,17.5696004
-97.749095,16.1861564
-94.3359542,16.6861872
-94.7097515,16.3884818
-94.6361938,16.9137979
-94.2790489,16.502506
-96.2475605,15.9609713
-96.1318517,15.9097835
-96.2970685,15.9199667
-96.077726,15.954888
-96.5545987,15.945178
-96.3477802,15.8550956
-96.4881992,15.9760174
-96.4417219,15.9496932
-97.8995243,16.9059683
-95.2922773,16.3356495
-96.2183261,18.0391769
-96.3091,17.8611
-96.1686,17.8863
-96.3660622,17.9045887
-96.1467767,18.0708609
-96.3065015,18.2711884
-96.227594,17.764734
-96.4402774,17.8013773
-96.1697674,17.9637108
-96.3123322,17.7666697
-96.06277,17.781905
-96.2307296,17.8209006
-97.520942,20.018258
-98.0920834,20.3094585
-99.588794,21.385909
-99.1788304,21.4614113
-99.4727683,21.2050742
-99.3014717,21.1898537
-99.0979671,21.2415424
-99.6248898,21.2341623
-99.5605731,21.1624682
-87.1309805,21.2278619
-86.9027245,20.8450158
-87.051073,20.860018
-87.1095081,20.9089283
-86.8145496,21.1466826
-86.8597984,20.5471334
-87.015478,20.405524
-86.9500923,20.5108016
-86.9248409,20.5501368
-86.9081614,20.4309857
-87.004571,20.30032
-86.961937,20.3983115
-88.5717773,19.3940679
-87.9644609,19.6878458
-88.5916337,19.5851821
-87.6393449,19.8509531
-88.124651,19.1388922
-88.0460855,19.5773185
-87.714482,19.4972021
-87.946874,19.6269137
-88.1369162,19.8452161
-88.46017,19.3621335
-87.60744,20.0752417
-86.822499,21.249054
-88.8878059,19.3304206
-89.0770948,19.5490634
-88.7209031,19.7564043
-88.8159455,19.7135941
-87.3443611,21.0174856
-87.3391243,21.4265754
-87.583501,20.721541
-88.3527374,18.7316154
-88.3893067,18.6769732
-88.8581085,17.9029552
-88.5723524,18.8166001
-89.100731,18.446142
-87.696287,18.73713
-88.2334542,19.0017967
-88.2269298,18.6133944
-89.0844028,18.4926763
-89.130047,18.664571
-88.321963,18.507769
-88.412961,18.635005
-88.8402537,18.4780476
-89.0031624,18.1929883
-88.72346,18.48148
-88.6535483,18.4879729
-88.3727398,18.5154513
-88.5282762,18.4476759
-89.0002441,18.3388837
-88.6939573,18.1922544
-87.1201147,20.5809797
-86.9339902,20.7940443
-87.6323283,20.645957
-86.959467,20.754963
-87.1248221,20.6523569
-87.037023,20.659836
-87.7317009,20.4906975
-87.4346228,20.2160391
-87.6306224,20.3304485
-87.475592,19.8139687
-105.8041549,23.5419567
-105.9166145,23.5818511
-105.892182,23.423666
-105.8496022,23.5696551
-107.4657186,24.768127
-108.7585212,25.5131451
-106.2174082,23.4993304
-106.7361689,23.6408893
-106.706,23.7498611
-106.6762167,23.6123111
-106.7706111,23.6936194
-99.3418342,22.5719522
-99.4221,22.5841
-98.9637623,21.4818616
-100.501074,22.140374
-99.3933105,21.9239372
-98.9742054,21.7340278
-98.9894021,21.3863701
-91.6073084,17.9179827
-91.4775867,17.7664686
-91.5542865,17.6624654
-91.5067263,17.7177617
-91.0572004,17.5864487
-92.7240902,18.456159
-92.7934483,18.4879705
-92.932325,18.0061568
-92.9943538,17.9171252
-92.8027438,17.9748201
-93.2007873,18.2792872
-93.2545024,18.0561169
-93.374036,17.986318
-93.3729757,18.0772832
